"4";"3";"1";"3";"0";"75.80.236.132";"1190064895";"1";"0";"1";"1";"1";"0";;"top 50 boulder problems in So Cal";"You guys have seen my list, I want to know what the rest of SoCal thinks.

What are the best boulder problems in So Cal?";;"0";;"2k79kuho";"1";"0";;"3";"0";"0"
"5";"3";"1";"5";"0";"72.130.9.169";"1190601046";"1";"0";"1";"1";"1";"0";;;"i hear so high is pretty good";;"0";;"2qcnnqrp";"1";"0";;"5";"0";"0"
"6";"3";"1";"6";"0";"68.6.45.75";"1190676964";"1";"0";"1";"1";"1";"1";;;"Here are my votes for your ass - I kinda like everything though...

Stoney:
3 Pigs, Hot Tuna, Johnson's Arete, Coda's Corner, Ummaguma, 
ARon is Gay

Pine Mt:
Happy Hunting Grounds, Dissing Euros, Whiplash, Full Contact

Brickyard:
Smooth Criminal, Premium Blend, The Extremist, Dancing Outlaw
Lizard's Mouth:
High Hat, The Mouth Traverse, Call Me, The Steve Edward Project

Skofield:
Zerreissen, Mutants Amok and Mutants Amok Low Traverse, Le Fissure King

Black:
Velvet Revolver, O.K. Arete, Smack Down - All of BM rips

Tram:
Posse (12 Stars), Solitude Arete, Standing On the Head of The Dragon, Blue Flame, Soul Caliber, The Cube, Paper Dragon, Gluttony, Sharma's Rig, Somewhere In Time

Josh:
Slashface, So High, Gun Smoke, Saturday Night Live

Rock Creek:
Osama, A Boy Name Sue, Overzealous

Bishop:
High Plains Drifter, Evilution, Checkerboard, Mandala, Stained Glass, Fly Boy, Low Rider

 <!-- s:twisted: --><img src=\"{SMILIES_PATH}/icon_twisted.gif\" alt=\":twisted:\" title=\"Twisted Evil\" /><!-- s:twisted: -->";;"0";;"1ial5pkw";"1";"1190746269";;"6";"1";"0"
"8";"5";"1";"6";"0";"68.6.45.75";"1190691012";"1";"0";"1";"1";"1";"1";;"Santa Barbara Bouldering = Good Shit.";"Yo Punk Asses,
If you haven't made it up to Santa Barbara, Do It.  The temps are dropping and the sandstone pebble wrestling is damn good.  Hit me up - I'll give you the PDiddy tour with Special Sauce.";;"0";;"377o36f4";"1";"0";;"6";"0";"0"
"10";"5";"1";"3";"0";"75.80.236.132";"1190740209";"1";"0";"1";"1";"1";"0";;;"yo Pizzle

hit us with some SB case studies, bro

 <!-- shedbang --><img src=\"{SMILIES_PATH}/devil[2].gif\" alt=\"hedbang\" title=\"thrash1\" /><!-- shedbang -->";;"0";;"2nap6hzr";"1";"0";;"3";"0";"0"
"11";"3";"1";"3";"0";"75.80.236.132";"1190740277";"1";"0";"1";"1";"1";"0";;;"can u elaborate on that Aron is gay problem?";;"0";;"3pihkk21";"1";"0";;"3";"0";"0"
"12";"3";"1";"6";"0";"68.6.45.75";"1190746341";"1";"0";"1";"1";"1";"1";;;"No, but I heard it's short and soft.";;"0";;"2ylla6up";"1";"0";;"6";"0";"0"
"13";"7";"6";"3";"0";"75.80.236.132";"1190750120";"1";"0";"1";"1";"1";"0";;"Bearded Mountain Woman";"anybody seen him at Tram lately?";;"0";;"2pjr1ukt";"1";"0";;"3";"0";"0"
"14";"8";"6";"3";"0";"75.80.236.132";"1190750667";"1";"0";"1";"1";"1";"0";;"I remember when...";"boulderers would pride themselves on having nothing but a chalkbag and shoes clipped onto their sides.

now I carry five times as much crap as when I was out doing multi-pitch!";;"0";;"11aquhro";"1";"0";;"3";"0";"0"
"15";"9";"9";"7";"0";"75.28.7.245";"1190757333";"1";"0";"1";"1";"1";"0";;"Tram problem of the day! 10/25";"Subject: Bark- Grappel - Snap
Rating: So hard that it can't be quantified
Quality: 2 1/2 stars
Location: Tram
Notes: uhh...


Better hurry up and get that guide out. looks like you're runnin' outta sequence shots!   <!-- s:lol: --><img src=\"{SMILIES_PATH}/icon_lol.gif\" alt=\":lol:\" title=\"Laughing\" /><!-- s:lol: -->";;"0";;"yh7bzxrp";"1";"0";;"7";"0";"0"
